CATEGORY,CLEANED,GENDER
San_Diego_State_Aztecs_men's_basketball,san diego state aztecs men 's basketball,M
Ethiopian_men_by_occupation,ethiopian men by occupation,M
Syrian_men_by_occupation,syrian men by occupation,M
Male_Sahabah,male sahabah,M
Kent_State_Golden_Flashes_men's_basketball,kent state golden flashes men 's basketball,M
Penn_Quakers_men's_basketball,penn quakers men 's basketball,M
Women's_basketball_competitions_in_Australia,women 's basketball competitions in australia,W
Women's_basketball_leagues_in_Oceania,women 's basketball leagues in oceania,W
Women's_National_Basketball_League_teams,women 's national basketball league teams,W
Women's_National_Basketball_League,women 's national basketball league,W
Women's_basketball_teams_in_Australia,women 's basketball teams in australia,W
Women's_National_Basketball_League_players,women 's national basketball league players,W
Women's_basketball_players,women 's basketball players,W
Western_Michigan_Broncos_men's_basketball,western michigan broncos men 's basketball,M
Women's_sports_in_the_United_States,women 's sports in the united states,W
Tulsa_Golden_Hurricane_men's_basketball,tulsa golden hurricane men 's basketball,M
British_women_by_occupation,british women by occupation,W
Women_legislators_in_the_United_Kingdom,women legislators in the united kingdom,W
Davidson_Wildcats_men's_basketball,davidson wildcats men 's basketball,M
Women's_rights_by_continent,women 's rights by continent,W
Women_in_Africa,women in africa,W
Middle_Eastern_women,middle eastern women,W
Women's_rights_by_region,women 's rights by region,W
Women's_rights_in_Africa,women 's rights in africa,W
Women's_rights_in_Asia,women 's rights in asia,W
Women's_rights_in_Islam,women 's rights in islam,W
Women_in_Asia,women in asia,W
Women_in_Europe,women in europe,W
College_men's_ice_hockey_in_the_United_States,college men 's ice hockey in the united states,M
Men's_sports_competitions_in_the_United_States,men 's sports competitions in the united states,M
George_Mason_Patriots_men's_basketball,george mason patriots men 's basketball,M
George_Mason_Patriots_women's_basketball,george mason patriots women 's basketball,W
Oregon_State_Beavers_women's_basketball,oregon state beavers women 's basketball,W
Women's_religious_organizations,women 's religious organizations,W
Women's_education_in_India,women 's education in india,W
Women's_organisations_based_in_India,women 's organisations based in india,W
Women's_universities_and_colleges,women 's universities and colleges,W
Islam_and_women,islam and women,W
UAB_Blazers_men's_basketball,uab blazers men 's basketball,M
Army_Black_Knights_women's_basketball,army black knights women 's basketball,W
Patriot_League_women's_basketball,patriot league women 's basketball,W
Patriot_League_men's_basketball,patriot league men 's basketball,M
Irish_women_by_occupation,irish women by occupation,W
Swedish_female_musicians,swedish female musicians,W
Swedish_male_musicians,swedish male musicians,M
Norwegian_male_musicians,norwegian male musicians,M
Norwegian_female_musicians,norwegian female musicians,W
North_Dakota_State_Bison_women's_basketball,north dakota state bison women 's basketball,W
College_men's_basketball_competitions_in_the_United_States,college men 's basketball competitions in the united states,M
Women's_National_Basketball_Association_Draft,women 's national basketball association draft,W
Ancient_Chinese_women,ancient chinese women,W
Women_in_hip_hop_music,women in hip hop music,W
All-female_bands,all female bands,W
Women_in_the_World_Wars,women in the world wars,W
German_female_musicians,german female musicians,W
Violence_against_women_by_country,violence against women by country,W
Violence_against_women_in_Asia,violence against women in asia,W
Women's_rights_in_Pakistan,women 's rights in pakistan,W
Niagara_Purple_Eagles_men's_basketball,niagara purple eagles men 's basketball,M
Women_of_medieval_China,women of medieval china,W
Women_in_the_United_States,women in the united states,W
Women's_tennis_tournaments,women 's tennis tournaments,W
Georgia_Tech_Yellow_Jackets_women's_tennis,georgia tech yellow jackets women 's tennis,W
Romanian_women_by_occupation,romanian women by occupation,W
Winston-Salem_State_Rams_men's_basketball,winston salem state rams men 's basketball,M
Women_in_sports,women in sports,W
Women's_rugby_union_competitions_for_national_teams,women 's rugby union competitions for national teams,W
Women_members_of_the_Oireachtas,women members of the oireachtas,W
Brazilian_men_by_occupation,brazilian men by occupation,M
Women_members_of_upper_houses,women members of upper houses,W
20th-century_French_male_writers,20th century french male writers,M
Women_in_Texas,women in texas,W
Utah_Utes_women's_basketball,utah utes women 's basketball,W
South_American_women,south american women,W
Women_by_nationality,women by nationality,W
Women_in_Colombia,women in colombia,W
Portuguese_women_by_occupation,portuguese women by occupation,W
Italian_women_by_occupation,italian women by occupation,W
Women_by_occupation_and_nationality,women by occupation and nationality,W
German_women_by_occupation,german women by occupation,W
French_women_by_occupation,french women by occupation,W
American_women_by_occupation,american women by occupation,W
English_women_by_occupation,english women by occupation,W
Swedish_women_by_occupation,swedish women by occupation,W
Spanish_women_by_occupation,spanish women by occupation,W
Belgian_women_by_occupation,belgian women by occupation,W
Czech_women_by_occupation,czech women by occupation,W
Indian_women_religious_leaders,indian women religious leaders,W
Kent_State_Golden_Flashes_women's_basketball,kent state golden flashes women 's basketball,W
Oklahoma_Sooners_women's_basketball,oklahoma sooners women 's basketball,W
Japanese_women_by_occupation,japanese women by occupation,W
Women's_footballers_in_England_by_club,women 's footballers in england by club,W
Boise_State_Broncos_men's_basketball,boise state broncos men 's basketball,M
American_women's_rights_activists,american women 's rights activists,W
French_women_activists,french women activists,W
Men's_organizations,men 's organizations,M
Men's_spaces,men 's spaces,M
Women's_ice_hockey_by_country,women 's ice hockey by country,W
Women's_sports_in_Canada,women 's sports in canada,W
Missouri_Tigers_women's_basketball,missouri tigers women 's basketball,W
Houston_Cougars_women's_basketball,houston cougars women 's basketball,W
Boston_College_Eagles_women's_basketball,boston college eagles women 's basketball,W
Women_in_Massachusetts,women in massachusetts,W
Wisconsin_Badgers_women's_basketball,wisconsin badgers women 's basketball,W
Michigan_Wolverines_women's_basketball,michigan wolverines women 's basketball,W
American_women_activists,american women activists,W
Drexel_Dragons_men's_basketball,drexel dragons men 's basketball,M
Women's_rights_in_England,women 's rights in england,W
Italian_men_by_occupation,italian men by occupation,M
British_women's_rights_activists,british women 's rights activists,W
British_women_activists,british women activists,W
Women's_suffrage_in_the_United_Kingdom,women 's suffrage in the united kingdom,W
Ancient_women_by_occupation,ancient women by occupation,W
Irish_male_writers,irish male writers,M
Female_composers,female composers,W
Women_in_film,women in film,W
Junior_college_men's_basketball_players_in_the_United_States,junior college men 's basketball players in the united states,M
Vincennes_Trailblazers_men's_basketball,vincennes trailblazers men 's basketball,M
German_men_by_occupation,german men by occupation,M
Gay_male_mass_media,gay male mass media,M
Imperial_Russian_women_by_occupation,imperial russian women by occupation,W
Women_and_the_papacy,women and the papacy,W
College_women's_volleyball_coaches_in_the_United_States,college women 's volleyball coaches in the united states,W
LSU_Tigers_women's_volleyball,lsu tigers women 's volleyball,W
College_women's_soccer_coaches_in_the_United_States,college women 's soccer coaches in the united states,W
LSU_Tigers_women's_soccer,lsu tigers women 's soccer,W
College_women's_gymnastics_coaches_in_the_United_States,college women 's gymnastics coaches in the united states,W
LSU_Tigers_women's_gymnastics,lsu tigers women 's gymnastics,W
Montana_State_Bobcats_men's_basketball,montana state bobcats men 's basketball,M
Science_awards_honoring_women,science awards honoring women,W
Women_scientists,women scientists,W
German_women_activists,german women activists,W
Male_beauty_pageant_winners,male beauty pageant winners,M
English_men_by_occupation,english men by occupation,M
Women_educators,women educators,W
CONCACAF_competitions_for_women's_national_teams,concacaf competitions for women 's national teams,W
20th-century_Austrian_male_writers,20th century austrian male writers,M
Austrian_male_writers,austrian male writers,M
Belgian_men_by_occupation,belgian men by occupation,M
European_women,european women,W
Puerto_Rican_women_by_occupation,puerto rican women by occupation,W
Georgia_Tech_Yellow_Jackets_women's_basketball,georgia tech yellow jackets women 's basketball,W
Vermont_Catamounts_women's_basketball,vermont catamounts women 's basketball,W
Boise_State_Broncos_women's_basketball,boise state broncos women 's basketball,W
Virginia_Tech_Hokies_women's_basketball,virginia tech hokies women 's basketball,W
DC_Comics_female_superheroes,dc comics female superheroes,W
Fictional_women_soldiers_and_warriors,fictional women soldiers and warriors,W
Fairfield_Stags_men's_basketball,fairfield stags men 's basketball,M
Women's_history,women 's history,W
Cultural_depictions_of_male_serial_killers,cultural depictions of male serial killers,M
Italian_female_musicians,italian female musicians,W
Filipino_women_by_occupation,filipino women by occupation,W
College_men's_lacrosse_teams_in_the_United_States,college men 's lacrosse teams in the united states,M
Colonial_Athletic_Association_men's_lacrosse,colonial athletic association men 's lacrosse,M
Colorado_Buffaloes_women's_basketball,colorado buffaloes women 's basketball,W
Women_in_Colorado,women in colorado,W
College_of_Charleston_Cougars_men's_basketball,college of charleston cougars men 's basketball,M
Men's_universities_and_colleges_in_the_United_States,men 's universities and colleges in the united states,M
Georgetown_Hoyas_women's_basketball,georgetown hoyas women 's basketball,W
British_male_models,british male models,M
Colorado_State_Rams_men's_basketball,colorado state rams men 's basketball,M
Utah_State_Aggies_men's_basketball,utah state aggies men 's basketball,M
Men's_national_sports_teams_of_Northern_Ireland,men 's national sports teams of northern ireland,M
United_States_men's_national_soccer_team,united states men 's national soccer team,M
American_women's_soccer_players,american women 's soccer players,W
Association_football_players_by_women's_national_team,association football players by women 's national team,W
United_States_women's_national_soccer_team,united states women 's national soccer team,W
Men's_national_sports_teams_of_Wales,men 's national sports teams of wales,M
Middle_Tennessee_Blue_Raiders_women's_basketball,middle tennessee blue raiders women 's basketball,W
