CATEGORY,CLEANED,YEAR_ADDED,GENDER
Arab American women,arab american women,1996,W
Older women in art,older women in art,2004,W
African American men in art,african american men in art,2000,M
"Women, Berber",berber women,1996,W
Nicaraguan American women,nicaraguan american women,1996,W
African American women storytellers,african american women storytellers,2000,W
Women storytellers,women storytellers,1996,W
Women type designers,women type designers,1996,W
Male homosexuality in art,male homosexuality in art,1996,M
Muslim women in art,muslim women in art,1996,W
"Men, White, in literature",white men in literature,2004,M
"Women, White, in art",white women in art,2004,W
Women automobile drivers in art,women automobile drivers in art,1996,W
Psychologically abused men,psychologically abused men,1997,M
Older Hispanic American women,older hispanic american women,2004,W
Pregnant women in art,pregnant women in art,1997,W
Women's prayer groups,women 's prayer groups,1997,W
Women animal trainers,women animal trainers,1997,W
"Women, Arab",arab women,1997,W
Gay men in art,gay men in art,1997,M
African American women in advertising,african american women in advertising,2000,W
Garifuna women,garifuna women,2005,W
"Women, Karanga",karanga women,1997,W
Women heroes in art,women heroes in art,1997,W
Men in advertising,men in advertising,1997,M
Jewish women in the Holocaust,jewish women in the holocaust,1997,W
"Women, Logooli",logooli women,1997,W
"Women authors, Brazilian",brazilian women authors,1997,W
"Women, Bini",bini women,1997,W
Women volleyball players,women volleyball players,1997,W
"Women poets, Basque",basque women poets,1997,W
Motion pictures and women,motion pictures and women,1997,W
Women's computer network resources,women 's computer network resources,1997,W
"Women, Bantu-speaking",bantu speaking women,1997,W
Music by African American women composers,music by african american women composers,2000,W
Wild men in art,wild men in art,1997,M
Hawaiian women in art,hawaiian women in art,2004,W
"Women, Prehistoric, in art",prehistoric women in art,1997,W
Women musicians in art,women musicians in art,1997,W
Women prophets in art,women prophets in art,1997,W
Working class women in art,working class women in art,1997,W
Women accordionists,women accordionists,1997,W
Body image in women,body image in women,1997,W
Indian women potters,indian women potters,1997,W
"Women authors, Israeli",israeli women authors,1997,W
Coquille women,coquille women,1997,W
Women critics,women critics,1997,W
Women's hospitals,women 's hospitals,2003,W
Women leather workers,women leather workers,1997,W
Karuk women,karuk women,1997,W
Computers and women,computers and women,1997,W
Women computer industry employees,women computer industry employees,1997,W
Ute women,ute women,1997,W
"Women, Baule",baule women,2000,W
Motion pictures for men,motion pictures for men,1997,M
Women runners,women runners,1997,W
Jewish women artists,jewish women artists,1997,W
Women Christian educators,women christian educators,1997,W
"Women, Kwena",kwena women,1997,W
Anabaptist women,anabaptist women,1997,W
Women martyrs,women martyrs,1997,W
Christian women martyrs,christian women martyrs,1997,W
Women theologians,women theologians,1997,W
African American women chief executive officers,african american women chief executive officers,2000,W
Women chief executive officers,women chief executive officers,1997,W
Women biochemists,women biochemists,1997,W
"Women, Grasia",grasia women,1997,W
Women geophysicists,women geophysicists,1997,W
Women marine scientists,women marine scientists,1997,W
Public speaking for women in literature,public speaking for women in literature,1997,W
African American women travelers,african american women travelers,2000,W
"Women, Ovambo",ovambo women,1997,W
Women rodeo performers,women rodeo performers,2000,W
"Women authors, Ukrainian",ukrainian women authors,1997,W
Women political candidates,women political candidates,1997,W
Women music patrons,women music patrons,1997,W
Asian American women employees,asian american women employees,1997,W
Arapaho women,arapaho women,1997,W
Korean American men,korean american men,1997,M
Self-esteem in men,self esteem in men,1997,M
Tiwa women,tiwa women,2001,W
Hispanic American women television personalities,hispanic american women television personalities,1997,W
Women cyclists,women cyclists,1997,W
Depression in women,depression in women,1997,W
Male homosexuality in literature,male homosexuality in literature,1997,M
"Gay men's writings, Irish",irish gay men 's writings,1997,M
Women computer scientists,women computer scientists,1997,W
AIDS (Disease) in women,aids ( disease ) in women,1997,W
Women in Confucianism,women in confucianism,1997,W
African American middle-aged women,african american middle aged women,2005,W
Indian women employees,indian women employees,1997,W
Nigerian American men,nigerian american men,1997,M
Purépecha women,purépecha women,1997,W
Women computational neuroscientists,women computational neuroscientists,1997,W
Women food writers,women food writers,1997,W
Hopi women potters,hopi women potters,1997,W
Tewa women potters,tewa women potters,1997,W
Women justices of the peace,women justices of the peace,1997,W
Rural gay men,rural gay men,1997,M
Rural men,rural men,1997,M
Women park employees,women park employees,1997,W
African American women park employees,african american women park employees,2000,W
"Women poets, Vietnamese",vietnamese women poets,1997,W
Women boxers,women boxers,1997,W
Warao women,warao women,2002,W
"Male authors, American",american male authors,1997,M
"Women dramatists, Brazilian",brazilian women dramatists,1997,W
"Women's Revolt, Nigeria, 1929",nigeria women 's revolt 1929,1997,W
Anxiety in women,anxiety in women,1997,W
Women ship captains,women ship captains,1997,W
"Women authors, Filipino",filipino women authors,1997,W
"Women poets, Filipino",filipino women poets,1997,W
Ingano women,ingano women,1997,W
Minority women educators,minority women educators,1997,W
Cayapa women,cayapa women,1997,W
African American women lawyers,african american women lawyers,2000,W
Heart diseases in women,heart diseases in women,1997,W
"Women, Buhid",buhid women,1997,W
Cancer in women,cancer in women,1997,W
Osteoporosis in women,osteoporosis in women,1997,W
African American women teachers,african american women teachers,1997,W
Women martial artists,women martial artists,1997,W
"Women teachers, Black",black women teachers,1997,W
Moro women,moro women,1997,W
Male child care workers,male child care workers,1997,M
Women shamans,women shamans,1997,W
Women cartographers,women cartographers,1997,W
Leading men (Actors),leading men ( actors ),1997,M
Radio and women,radio and women,1997,W
"Women, Turkana",turkana women,1997,W
African American male singers,african american male singers,2000,M
Male singers,male singers,1997,M
Women and erotica,women and erotica,1997,W
Deafblind women,deafblind women,2006,W
"Women dramatists, German",german women dramatists,1997,W
Women soccer players,women soccer players,1997,W
Women hockey players,women hockey players,1998,W
"Women, Dinka",dinka women,1998,W
Women in the Rastafari movement,women in the rastafari movement,1998,W
Women journalists in motion pictures,women journalists in motion pictures,1998,W
Lacandon women,lacandon women,1998,W
"Women, Meo",meo women,1998,W
Women freethinkers,women freethinkers,1998,W
Women drummers (Musicians),women drummers ( musicians ),1998,W
Body image in men,body image in men,1998,M
Mazahua women,mazahua women,1998,W
"Women authors, Tunisian",tunisian women authors,1998,W
African American men in popular culture,african american men in popular culture,2000,M
Male juvenile delinquents,male juvenile delinquents,1998,M
Male primary school teachers,male primary school teachers,1998,M
Women in operetta,women in operetta,1998,W
Christian men,christian men,1998,M
Catholic men,catholic men,1998,M
Gay men and musicals,gay men and musicals,1998,M
"Women authors, Slovenian",slovenian women authors,1998,W
Women embroidery industry employees,women embroidery industry employees,1998,W
"Women, Ifugao",ifugao women,1998,W
Female friendship in motion pictures,female friendship in motion pictures,1998,W
"Women, Toba-Batak",toba batak women,1998,W
"Women, Kamilaroi",kamilaroi women,1998,W
"Women's periodicals, Danish",danish women 's periodicals,1998,W
Indian women in literature,indian women in literature,1998,W
Iranian American women,iranian american women,1998,W
Iroquoian women,iroquoian women,1998,W
"Women authors, Dominican",dominican women authors,1998,W
Women in public worship,women in public worship,1998,W
"Women's periodicals, Ukrainian",ukrainian women 's periodicals,1998,W
"Women authors, Ecuadorian",ecuadorian women authors,1998,W
"Women, Gisiga",gisiga women,2003,W
Women softball players,women softball players,1998,W
Gay men in mass media,gay men in mass media,1998,M
"Women artists, Aboriginal Australian",aboriginal australian women artists,2003,W
"Women's periodicals, Canadian",canadian women 's periodicals,1998,W
Comanche women,comanche women,1998,W
"Women authors, Flemish",flemish women authors,1998,W
Tall women,tall women,1998,W
African American women physicians,african american women physicians,2000,W
Women's hats,women 's hats,2003,W
East Indian American women,east indian american women,1998,W
Pakistani American women,pakistani american women,1998,W
Haitian American women surgeons,haitian american women surgeons,1998,W
Cuban American women television personalities,cuban american women television personalities,1998,W
Women transplant surgeons,women transplant surgeons,1998,W
Guatemalan American women,guatemalan american women,1998,W
HIV-positive men,hiv positive men,1998,M
African American women school superintendents,african american women school superintendents,2000,W
Women in music,women in music,1998,W
Women computer engineers,women computer engineers,1998,W
"Women authors, Central American",central american women authors,1998,W
Women admirals,women admirals,1998,W
Bannock women,bannock women,1998,W
"Women, Narrinyeri",narrinyeri women,1998,W
Women basketball coaches,women basketball coaches,1998,W
African American women singers,african american women singers,2000,W
Male friendship in literature,male friendship in literature,1998,M
"Women poets, Israeli",israeli women poets,1998,W
Women election officials,women election officials,1998,W
Women ecologists,women ecologists,1998,W
Women in computer science,women in computer science,1998,W
Women television journalists,women television journalists,1998,W
"Women, Ibibio",ibibio women,1998,W
Violence in women,violence in women,2006,W
"Women, Ngangte",ngangte women,1998,W
"Women authors, New Zealand",new zealand women authors,1998,W
Learning disabled women,learning disabled women,2001,W
Male feminists,male feminists,1998,M
Women folk musicians,women folk musicians,1998,W
"Women, Chwabo",chwabo women,1998,W
Upper class women,upper class women,1998,W
Basque American women,basque american women,1998,W
"Women, Kumauni",kumauni women,1998,W
"Women, Manyika",manyika women,1998,W
Micmac women,micmac women,1998,W
Women swimmers,women swimmers,1998,W
Cakchikel women,cakchikel women,1998,W
Carrier women,carrier women,1998,W
"Women authors, Hungarian",hungarian women authors,1999,W
"Women, Tainui",tainui women,1999,W
Women service industries workers,women service industries workers,1999,W
Women forensic anthropologists,women forensic anthropologists,1999,W
Swedenborgian women,swedenborgian women,1999,W
Episcopalian women,episcopalian women,1999,W
"Women authors, French-Canadian",french canadian women authors,1999,W
"Women, Minahasa",minahasa women,1999,W
Women lyricists,women lyricists,1999,W
Indian women physicians,indian women physicians,1999,W
Omaha women,omaha women,1999,W
Diabetes in women,diabetes in women,1999,W
Abenaki women,abenaki women,1999,W
Christian education of young women,christian education of young women,1999,W
"Women, Black, in art",black women in art,1999,W
African American women tennis players,african american women tennis players,2000,W
Women linguists,women linguists,1999,W
Egyptian American women,egyptian american women,1999,W
Women fishery scientists,women fishery scientists,2006,W
Female friendship in literature,female friendship in literature,1999,W
Women textile workers in literature,women textile workers in literature,1999,W
Women's music festivals,women 's music festivals,1999,W
"Women, Tibetan",tibetan women,1999,W
Women hunting guides,women hunting guides,1999,W
"Women, Buriat",buriat women,1999,W
Women bobsledders,women bobsledders,1999,W
Women Assyriologists,women assyriologists,1999,W
"Women's periodicals, Dutch",dutch women 's periodicals,1999,W
Fly fishing for women,fly fishing for women,1999,W
"Women authors, Nigerian",nigerian women authors,1999,W
African American women educators,african american women educators,2000,W
African American women surgeons,african american women surgeons,2000,W
"Women poets, Persian",persian women poets,1999,W
"Women in Military Service for America Memorial (Arlington, Va.)",va ) women in military service for america memorial ( arlington,1999,W
African American women entertainers,african american women entertainers,2000,W
"Gay men's writings, North African (French)",north african ( french ) gay men 's writings,1999,M
Abused women in literature,abused women in literature,1999,W
Social work with minority women,social work with minority women,1999,W
Motion pictures and men,motion pictures and men,1999,M
"Women authors, Hausa",hausa women authors,1999,W
"Women dramatists, Irish",irish women dramatists,1999,W
Women spiritual directors,women spiritual directors,1999,W
Women beadworkers,women beadworkers,1999,W
Chiricahua women,chiricahua women,1999,W
"Women, Baka",baka women,1999,W
Women drummers (Musicians) in art,women drummers ( musicians ) in art,1999,W
"Women, Danube Swabian",danube swabian women,1999,W
Middle-aged gay men,middle aged gay men,2005,M
Mandan women,mandan women,1999,W
Hidatsa women,hidatsa women,1999,W
"Women, Balanta",balanta women,1999,W
Mexican American women in the professions,mexican american women in the professions,2000,W
Cancer in men,cancer in men,1999,M
"Women, Mossi",mossi women,1999,W
Violence in men,violence in men,1999,M
"Women poets, Greek",greek women poets,1999,W
Women of Europe Award,women of europe award,1999,W
Christian women (Disciples of Christ),christian women ( disciples of christ ),1999,W
Women private investigators,women private investigators,1999,W
