TITLE,SYN_1,SYN_2,SYN_3
credentialing manager,credentialing supervisor,medical staff manager,medical staff supervisor
credentialing specialist,credentialer,credentialing analyst,credentialing associate
credit analyst,credit and collections analyst,credit associate,credit investigator
credit collections manager,credit collections supervisor,manager credit collections,
credit collections specialist,credit collection associate,credit collections rep,credit collections representative
credit manager,credit administration manager,credit administration supervisor,credit director
credit risk analyst,credit risk associate,credit risk consultant,credit risk specialist
credit risk manager,credit risk supervisor,manager credit risk,
crew director,director crew,,
crew manager,crew supervisor,,
criminal justice instructor,criminal justice faculty,criminal justice professor,criminal justice teacher
crisis nurse,registered nurse crisis,rn crisis,
crisis worker,crisis specialist,,
critical care nurse,ccu nurse,critical care registered nurse,critical care rn
critical care technician,critical care tech,,
crossing guard,school guard,school patrol,
crtt,crtts,,
cryptographer,cryptanalyst,cryptologist,
ct technologist,c t tech,cat scan tech,cat scan technician
ctr,ctrs,,
culinary director,director culinary,director of culinary,
culinary manager,culinary supervisor,manager culinary,
culture manager,culture supervisor,manager culture,
curator,museum archivist,museum registrar,
curriculum developer,curriculum specialist,curriculum writer,learning designer
curriculum manager,curriculum supervisor,,
custodial manager,custodial supervisor,custodian manager,custodian supervisor
custodian,custodial associate,custodial engineer,custodial laborer
customer account executive,customer account exec,,
customer engagement manager,customer engagement supervisor,,
customer program manager,customer program supervisor,,
customer service manager,client service manager,client service mgr,client service supervisor
customer service officer,client service officer,guest service officer,
customer service representative,client associate,client partner,client relations representative
customer support engineer,client services engineer,customer quality engineer,customer service engineer
cvicu nurse,cardiovascular icu nurse,coronary care unit nurse,registered nurse cardiovascular icu
cvor nurse,cardiac operating room rn,cardiovascular operating room nurse,cardiovascular or nurse
cycle analyst,cycle consultant,cycle specialist,
cycle manager,cycle supervisor,,
cytogenetic technologist,cytogenetic technician,cytogenetics technician,cytogenetics technologist
dairy manager,dairy supervisor,manager dairy,
dance director,director of dance,,
dance teacher,dancing teacher,,
data analysis manager,data analysis supervisor,,
data analyst,data abstractor,data associate,data business analyst
data architect,analytics architect,bi architect,business intelligence architect
data center manager,data center director,data center supervisor,director data center
data coordinator,data clerk,data coord,data management coordinator
data entry clerk,data entry analyst,data entry assistant,data entry operator
data entry supervisor,data entry manager,,
data integrity specialist,data integrity analyst,,
